ID,LATITUDE,LONGITUDE,FACILITY_NAME,AREA,ACTIVITY_TYPE,ANALYSIS,ACTIVITY_DESCRIPTION,CHAIN,ACCESS,EMAIL,WEBSITE,CONTACT_NUMBER,FACILITY_TYPE,FACILITY_CONDITION,AVAILABLE_UTILITIES,FACILITY_CAPACITY,FACILITY_FEE,MEMBERSHIP,OPEN_TIME,FACILITY_ACCESSIBILITY,AGE_RESTRICTION,,FEE,ACCESSIBILITYT
20rf,53.413949,-6.243247,RCSI playing pitches,Swords,Outdoor Pitch,Pitch Sport,"GAA, rugby,football, hurling handball",No,membership,no email,https://www.rcsi.com/dublin/student-life/life-on-campus/sports,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
21rf,53.605128,-6.176328,Soccer pitch Charlie Moore Memorial Park,Balbriggan,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
22rf,53.607403,-6.183708,Balbriggan Community Centre,Balbriggan,Community Centre,Indoor Activity,Variety,No,free,no email,,N/A,Indoor,Good,Rent out a sports hall,50 in hall,Free,Free,Daytime,Run Lawn Bowls class for people with learning disabilities,All ages,,Free,Run Lawn Bowls class for people with learning disabilities
23rf,53.462139,-6.220153,Outdoor gym,Swords,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Gym,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
24rf,53.462595,-6.207047,ST Personal Training,Swords,Private Leisure Facility,Indoor Activity,Gym,No,entry fee,no email,,N/A,Indoor,Good,Could not be fully determined,40,Multiple,Per Session/Monthly,Daytime,Could not be fully determined on visit,20 26,,Per Session/Monthly,Could not be fully determined on visit
25rf,53.44598,-6.268178,Monksfield Equestrian,Swords,Equestrian,Other,Horse Riding,No,entry fee,no email,,N/A,Indoor/Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Per Session,Could not be fully determined on visit
26rf,53.443705,-6.217358,Yoga4all,Swords,Indoor Facility,Indoor Activity,Yoga,No,entry fee,no email,http://www.yoga4all.ie/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Per Session,Could not be fully determined on visit
27rf,53.4590308,-6.2490044,Ward River Valley Park Soccer Pitch,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,http://www.swordsmanorfootballclub.yourclub.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
28rf,53.457327,-6.232078,Football pitch Brackenstown Rd,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
29rf,53.453449,-6.24303,River valley and Rathingle Community centre,Swords,Community Centre,Indoor Activity,Variety,No,free,no email,,(01) 813 2656,Indoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,All ages,,Free,Could not be fully determined on visit
30rf,53.488761,-6.174626,Football field - Newbridge Demense,Lusk-Rush,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Free,Could not be fully determined on visit
31rf,53.408387,-6.248405,Sportslink Swimming Pool,Swords,Private Leisure Facility,Watersports,Swimming,Yes,membership,info@sportslink.ie,http://www.sportslink.ie/,(01) 862 1200,Indoor,Good,,,Multiple,Nightly/Annual,Daytime/Evening,"Yes, classes organized for everyone",All ages,,Nightly/Annual,"Yes, classes organized for everyone"
32rf,53.6111012,-6.1891249,Balbrigggan Community College Sports Centre,Balbriggan,Indoor Facility,Indoor Activity,Indoor sports,No,membership,no email,,N/A,,,,,,,,,,,,
33rf,53.6159314,-6.1930958,DP Gymnastics,Balbriggan,Indoor Facility,Indoor Activity,Indoor sports,No,membership,no email,,N/A,,,,,,,,,,,,
34rf,53.6090229,-6.2038527,Flemington Community Centre,Balbriggan,Community Centre,Indoor Activity,Other,FCC,free,no email,,N/A,,,,,,,,,,,,
35rf,53.6001147,-6.1819193,Castleland Community Centre - All Weather Pitch,Balbriggan,Outdoor Pitch,Pitch Sport,Field sports,No,free,no email,,N/A,,,,,,,,,,,,
36rf,53.607333,-6.197645,"Energie Fitness GYM (opening December 2019), Millfiled Shopping Centre",Balbriggan,Indoor Facility,Indoor Activity,Indoor sports,No,membership,no email,,N/A,,,,,,,,,,,,
37rf,53.5746833,-6.1086331,Skerries Skatepark,Balbriggan,Skate Park,"Playground, MUGA, Outdoor Gyms, Tennis",Skating,FCC,free,no email,,N/A,,,,,,,,,,,,
38rf,53.6044177,-6.1862838,Balbriggan Skatepark,Balbriggan,Skate Park,"Playground, MUGA, Outdoor Gyms, Tennis",Skating,FCC,free,no email,,N/A,,,,,,,,,,,,
39rf,53.4866558,-6.1673852,Newbridge Demense - Sport Pitches,Lusk-Rush,Outdoor Pitch,Pitch Sport,Field sports,FCC,free,no email,,N/A,,,,,,,,,,,,
40rf,53.586151,-6.1561008,Ardgillan Demense - sport pitches,Balbriggan,Outdoor Pitch,Pitch Sport,Field sports,FCC,free,no email,,N/A,,,,,,,,,,,,
41rf,53.6049534,-6.1823708,Glebe North - All Weather Pitch,Balbriggan,All Weather Pitch,Pitch Sport,Field sports,FCC,free,no email,,N/A,,,,,,,,,,,,
42rf,53.4674289,-6.2126931,Fingallians GAA Pitch,Swords,Gaa Club,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,http://www.fingallians.com/,(01) 840 2518,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekends,Wheelchair access yes,All ages,,Annual,Wheelchair access yes
43rf,53.5758395,-6.2157126,Ring Commons Cricket Club,Lusk-Rush,Cricket Club,Pitch Sport,Cricket,,,no email,,N/A,,,,,,,,,,,,
44rf,53.4558865,-6.2461403,Ward River Valley Park Soccer Pitch,Swords,Outdoor Pitch,Pitch Sport,Soccer,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Wheelchair path no,Could not be fully determined on visit,,Free,Wheelchair path no
45rf,53.4556536,-6.2424136,Ward River Valley Park GAA Pitches,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Wheelchair access though unsure of sports,Could not be fully determined on visit,,Free,Wheelchair access though unsure of sports
46rf,53.4590103,-6.2507772,Ward River Valley Park Soccer Pitch,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,http://www.swordsmanorfootballclub.yourclub.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
47rf,53.4671168,-6.2200162,St. Colmcilles GFC Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,stcolmcillesgfc.ie,(01) 685 4327,Outdoor,Poor,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
48rf,53.4659756,-6.2161667,Balheary Pitches,Swords,Outdoor Pitch,Pitch Sport,GAA,,,no email,,N/A,Outdoor,Good,,,,,,,,,,
49rf,53.4672446,-6.2155341,Balheary Pitches,Swords,Outdoor Pitch,Pitch Sport,GAA,,,no email,,N/A,Outdoor,Good,,,,,,,,,,
50rf,53.4684406,-6.2146676,Balheary Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,,,no email,,N/A,Outdoor,Good,,,,,,,,,,
51rf,53.4692485,-6.2141078,Balheary Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,,,no email,,N/A,Outdoor,Good,,,,,,,,,,
52rf,53.4875317,-6.1292031,St. Ita's F.C. Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,http://www.stitasafc.eu/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
53rf,53.4874427,-6.1280528,St. Ita's F.C. Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,http://www.stitasafc.eu/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
54rf,53.44901,-6.244301,Cedar Green Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,No footpath for wheelchair access,All ages,,Free,No footpath for wheelchair access
55rf,53.4483373,-6.2543877,Rivervalley AFC Pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,www.stfinians.com,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,No wheelchair access to field,All ages,,Annual,No wheelchair access to field
56rf,53.4487871,-6.2538855,Rivervalley AFC Pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,www.stfinians.com,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,No wheelchair access to field,All ages,,Annual,No wheelchair access to field
57rf,53.44989,-6.2470905,Cedar park play area,Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Playground,,,no email,,N/A,,,,,,,,,,,,
58rf,53.4368824,-6.2206481,St Finians GAA pitches,Swords,Gaa Club,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
59rf,53.4404285,-6.2241142,Kilronan Equestrian Centre,Swords,Equestrian,Other,Horse Riding,,,no email,,N/A,,,,,,,,,,,,
60rf,53.4386359,-6.2160575,Kimi's Judo,Swords,Martial Arts,Indoor Activity,Martial arts,No,,no email,,N/A,,,,,,,,,,,,
61rf,53.4401788,-6.2156374,Holywell Park Pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
62rf,53.4402032,-6.2171438,Holywell Park Pitch,Swords,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
63rf,53.4726813,-6.2227961,Swords Celtic FC - All Weather Pitch,Swords,All Weather Pitch,Pitch Sport,Soccer,No,membership,no email,http://www.swordscelticfc.yourclub.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
64rf,53.4727097,-6.2243365,Swords Celtic FC Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
65rf,53.4722472,-6.2245751,Swords Celtic FC Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
66rf,53.473018,-6.2256111,Swords Celtic FC Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
67rf,53.4726732,-6.225652,Swords Celtic FC Pitches,Swords,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
68rf,53.4900235,-6.3013828,Rolestown Community Centre,Swords,Community Centre,Indoor Activity,Variety,,,no email,,N/A,,,,,,,,,,,,
69rf,53.5037461,-6.3049332,Fingal Ravens GAA - All Weather Pitch,Lusk-Rush,All Weather Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,https://fingalravens.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Unsure though wheelchair access,All ages,,Annual,Unsure though wheelchair access
70rf,53.5040456,-6.3067148,Fingal Ravens GAA Pitch,Lusk-Rush,Gaa Club,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,https://fingalravens.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Unsure though wheelchair access,All ages,,Annual,Unsure though wheelchair access
71rf,53.5858452,-6.2947149,Clann Mhuire GAA Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,http://www.clannmhuire.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Yes with regards to wheelchair access though it is unknow if any activities for the disabled are organised.,All ages,,Annual,Yes with regards to wheelchair access though it is unknow if any activities for the disabled are organised.
72rf,53.6156454,-6.1837413,Balbriggan FC pitches,Balbriggan,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,https://balbrigganfc.ie/,N/A,Outdoor,Fair,4 pitches.,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
73rf,53.5876029,-6.1989204,Balbriggan Rugby Club Pitch,Balbriggan,Rugby Club,Pitch Sport,Rugby,No,membership,info@balbirgganrfc.com,http://balbrigganrfc.com/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,,Annual,Could not be fully determined on visit
74rf,53.5886483,-6.1967426,Balbriggan Rugby Club Pitch,Balbriggan,Rugby Club,Pitch Sport,Rugby,No,membership,info@balbrigganrfc.com,http://balbrigganrfc.com/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,,Annual,Could not be fully determined on visit
75rf,53.6177696,-6.1894719,O'Dwyer's GAA and Balbriggan FC Pitch,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
76rf,53.6192615,-6.1883524,O'Dwyer's GAA and Balbriggan FC Pitch,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
77rf,53.6170055,-6.1868443,O'Dwyer's GAA and Balbriggan FC Pitch,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
78rf,53.6182518,-6.187923,O'Dwyer's GAA and Balbriggan FC Pitch,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
79rf,53.6191706,-6.1890885,O'Dwyer's GAA and Balbriggan FC Pitch,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,,Annual,Could not be fully determined on visit
80rf,53.5777358,-6.1110944,Skerries Community Centre,Balbriggan,Community Centre,Indoor Activity,Other,,,no email,,N/A,,,,,,,,,,,,
81rf,53.5771311,-6.1111276,Skerries - All weather pitch,Balbriggan,All Weather Pitch,Pitch Sport,"football, Hockey",,,no email,,N/A,,,,,,,,,,,,
82rf,53.5756422,-6.109277,Skerries outdoor pitches,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
83rf,53.5765544,-6.1091543,Skerries outdoor pitches,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
84rf,53.5756999,-6.1078559,Skerries outdoor pitches,Balbriggan,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",,,no email,,N/A,,,,,,,,,,,,
85rf,53.5719958,-6.1019284,Skerries R.F.C. Pitch,Balbriggan,Rugby Club,Pitch Sport,Rugby,No,membership,no email,http://www.skerriesrfc.ie/,(01) 849 0066,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access though no sports offered,All ages,,Annual,Wheelchair access though no sports offered
86rf,53.5723965,-6.103646,Skerries R.F.C. Pitch,Balbriggan,Rugby Club,Pitch Sport,Rugby,No,membership,no email,http://www.skerriesrfc.ie/,(01) 849 0066,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access though no sports offered,All ages,,Annual,Wheelchair access though no sports offered
87rf,53.5325031,-6.1069655,St. Maur's GAA Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,http://www.maurs.ie/,(01) 843 8233,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access with lift and work with the disabled throughout the community,All ages,,Annual,Wheelchair access with lift and work with the disabled throughout the community
88rf,53.5333943,-6.1063248,St. Maur's GAA Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,http://www.maurs.ie/,(01) 843 8233,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access with lift and work with the disabled throughout the community,All ages,,Annual,Wheelchair access with lift and work with the disabled throughout the community
89rf,53.5326489,-6.1081174,St. Maur's GAA Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,"GAA, football, hurling handball",No,membership,no email,http://www.maurs.ie/,(01) 843 8233,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Wheelchair access with lift and work with the disabled throughout the community,All ages,,Annual,Wheelchair access with lift and work with the disabled throughout the community
90rf,53.5389894,-6.0933639,Rush A.F.C. Pitch,Lusk-Rush,Outdoor Pitch,Pitch Sport,Soccer,No,membership,no email,http://rushafc.webnode.com/,(01) 843 0569,Outdoor,Good,Could not be fully determined,11 a side Soccer,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Yes but poor enough,All ages,,Annual,Yes but poor enough
