X,Y,LATITUDE,LONGITUDE,FACILITY_NAME,LEA,ACTIVITY_TYPE,ANALYSIS,ACTIVITY,ACTIVITY_DESCRIPTION,COMMERCIAL_OR_NON-COMMERCIAL,CHAIN,ACCESS,EMAIL,WEBSITE,CONTACT_NUMBER,FACILITY_TYPE,FACILITY_CONDITION,AVAILABLE_UTILITIES,FACILITY_CAPACITY,FACILITY_FEE,MEMBERSHIP,OPEN_TIME,FACILITY_ACCESSIBILITY,AGE_RESTRICTION,X_ITM,Y_ITM,OBJECT_ID
-678706.0298,7082432.418,53.534222,-6.09692,MUGA Kenure House,LEA-5 - Lusk-Rush,Multi-Use Games Areas,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Soccer and basketball,Non Commercial,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,All ages,726155.3643,755493.2762,12
-680095.1857,7080455.729,53.523667,-6.109399,Football pitch add  Rush,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,725359.3906,754296.9132,13
-683857.5619,7074124.087,53.48984,-6.143197,Donabate Portrane communtiy centre,LEA-5 - Lusk-Rush,Community Centre,Indoor Activity,Multiple,Variety,Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Entry Fee,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,723216.6772,750474.4204,14
-682730.4075,7073557.337,53.4868108,-6.1330716,St Patricks GAA Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,723897.3549,750154.9509,15
-682374.6749,7073209.209,53.48495,-6.129876,St Patricks GAA Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,724114.8395,749953.4819,16
-682576.3302,7073284.603,53.485353,-6.1316875,St Patricks GAA - All weather pitch,LEA-5 - Lusk-Rush,All Weather Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,723993.4524,749995.1658,17
-695460.3924,7057478.391,53.400781,-6.247427,Outdoor Gym Equipment,LEA7 - Swords,Outdoor Facility,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Gym,Non Commercial,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,716544.2083,740390.6134,18
-695177.3069,7058890.049,53.408341,-6.244884,Sportslink Outdoor All Weather Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,716692.6071,741235.8864,19
-694995.0769,7059937.377,53.413949,-6.243247,RCSI playing pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, rugby,football, hurling handball",Non Commercial,No,membership,no email,https://www.rcsi.com/dublin/student-life/life-on-campus/sports,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,716786.0712,741862.5048,20
-687545.6879,7095724.144,53.605128,-6.176328,Soccer pitch Charlie Moore Memorial Park,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,720689.8335,763244.5911,21
-688367.2258,7096150.975,53.607403,-6.183708,Balbriggan Community Centre,LEA-5 - Balbriggan,Community Centre,Indoor Activity,Multiple,Variety,Non Commercial,No,free,no email,,N/A,Indoor,Good,Rent out a sports hall,50 in hall,Free,Free,Daytime,Run Lawn Bowls class for people with learning disabilities,All ages,720195.0155,763485.2191,22
-692424.2646,7068942.853,53.462139,-6.220153,Outdoor gym,LEA7 - Swords,Outdoor Gym Equipment,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Gym,Non Commercial,No,free,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,718187.3603,747262.1263,23
-690965.3114,7069028.116,53.462595,-6.207047,ST Personal Training,LEA7 - Swords,Private Leisure Facility,Indoor Activity,Multiple,Gym,Commercial,No,entry fee,no email,,N/A,Indoor,Good,Could not be fully determined,40,Multiple,Per Session/Monthly,Daytime,Could not be fully determined on visit,20 26,719056.2811,747334.6667,24
-697770.3832,7065922.012,53.44598,-6.268178,Monksfield Equestrian,LEA7 - Swords,Equestrian,Other,Single,Horse Riding,Commercial,No,entry fee,no email,,N/A,Indoor/Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,715042.3079,745385.7377,25
-692113.1266,7065496.804,53.443705,-6.217358,Yoga4all,LEA7 - Swords,Indoor Facility,Indoor Activity,Single,Yoga,Commercial,No,entry fee,no email,http://www.yoga4all.ie/,N/A,Indoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Per Session,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,718424.22,745215.8128,26
-695635.9878,7068361.702,53.4590308,-6.2490044,Ward River Valley Park Soccer Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,http://www.swordsmanorfootballclub.yourclub.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,716280.2064,746868.8686,27
-693751.7495,7068043.154,53.457327,-6.232078,Football pitch Brackenstown Rd,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,717408.8534,746707.0435,28
-694970.9206,7067318.16,53.453449,-6.24303,River valley and Rathingle Community centre,LEA7 - Swords,Community Centre,Indoor Activity,Multiple,Variety,Non Commercial,No,free,no email,,(01) 813 2656,Indoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,All ages,716692.2233,746257.5999,29
-687356.2222,7073922.206,53.488761,-6.174626,Football field - Newbridge Demense,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,721134.3444,750300.4936,30
-695569.2629,7058898.639,53.408387,-6.248405,Sportslink Swimming Pool,LEA7 - Swords,Private Leisure Facility,Watersports,Single,Swimming,Non Commercial,Yes,membership,info@sportslink.ie,http://www.sportslink.ie/,(01) 862 1200,Indoor,Good,,,Multiple,Nightly/Annual,Daytime/Evening,"Yes, classes organized for everyone",All ages,716458.4014,741235.2511,31
-688970.2323,7096844.872,53.6111012,-6.1891249,Balbrigggan Community College Sports Centre,LEA-5 - Balbriggan,Indoor Facility,Indoor Activity,Multiple,Indoor sports,Non Commercial,No,membership,no email,,N/A,,,,,,,,,,719826.1097,763887.5497,32
-689412.2709,7097751.26,53.6159314,-6.1930958,DP Gymnastics,LEA-5 - Balbriggan,Indoor Facility,Indoor Activity,Multiple,Indoor sports,Commercial,No,membership,no email,,N/A,,,,,,,,,,719549.7316,764418.285,33
-690609.7235,7096454.911,53.6090229,-6.2038527,Flemington Community Centre,LEA-5 - Balbriggan,Community Centre,Indoor Activity,Multiple,Other,Non Commercial,FCC,free,no email,,N/A,,,,,,,,,,718857.4991,763631.6147,34
-688168.1086,7094783.64,53.6001147,-6.1819193,"Castleland Community Centre -
All Weather Pitch
",LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,Field sports,Non Commercial,No,free,no email,,N/A,,,,,,,,,,720334.0918,762677.3381,35
-689918.6855,7096137.841,53.607333,-6.197645,"Energie Fitness GYM (opening December 2019),
Millfiled Shopping Centre
",LEA-5 - Balbriggan,Indoor Facility,Indoor Activity,Multiple,Indoor sports,Commercial,No,membership,no email,,N/A,,,,,,,,,,719273.0076,763453.9807,36
-680009.9261,7090014.384,53.5746833,-6.1086331,Skerries Skatepark,LEA-5 - Balbriggan,Skate Park,"Playground, MUGA, Outdoor Gyms, Tennis",Single,Skating,Non Commercial,FCC,free,no email,,N/A,,,,,,,,,,725259.4016,759974.2714,37
-688653.9625,7095590.884,53.6044177,-6.1862838,Balbriggan Skatepark,LEA-5 - Balbriggan,Skate Park,"Playground, MUGA, Outdoor Gyms, Tennis",Single,Skating,Non Commercial,FCC,free,no email,,N/A,,,,,,,,,,720033.0425,763148.7236,38
-686550.18,7073528.338,53.4866558,-6.1673852,Newbridge Demense - Sport Pitches,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,Field sports,Non Commercial,FCC,free,no email,,N/A,,,,,,,,,,721620.8295,750078.6029,39
-685294.0063,7092164.614,53.586151,-6.1561008,Ardgillan Demense - sport pitches,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,Field sports,Non Commercial,FCC,free,no email,,N/A,,,,,,,,,,722083.0327,761167.6972,40
-688218.3694,7095691.387,53.6049534,-6.1823708,"Glebe North
- All Weather Pitch
",LEA-5 - Balbriggan,All Weather Pitch,Pitch Sport,Multiple,Field sports,Non Commercial,FCC,free,no email,,N/A,,,,,,,,,,720290.4595,763214.9335,41
-691593.8323,7069932.022,53.4674289,-6.2126931,Fingallians GAA Pitch,LEA7 - Swords,Gaa Club,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,http://www.fingallians.com/,(01) 840 2518,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekends,Wheelchair access yes,All ages,718667.9177,747863.069,42
-691929.9615,7090231.149,53.5758395,-6.2157126,Ring Commons Cricket Club,LEA-5 - Lusk-Rush,Cricket Club,Pitch Sport,Multiple,Cricket,Non Commercial,,,no email,,N/A,,,,,,,,,,718165.3268,759919.8375,43
-695317.1576,7067773.844,53.4558865,-6.2461403,Ward River Valley Park Soccer Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Wheelchair path no,Could not be fully determined on visit,716478.9946,746523.7096,44
-694902.3033,7067730.303,53.4556536,-6.2424136,Ward River Valley Park GAA Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Fair,Could not be fully determined,Could not be fully determined,Free,Free,Weekday Evening/ Daytime Weekends,Wheelchair access though unsure of sports,Could not be fully determined on visit,716727.1121,746503.8917,45
-695833.335,7068357.869,53.4590103,-6.2507772,Ward River Valley Park Soccer Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,http://www.swordsmanorfootballclub.yourclub.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Multiple,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,716162.5448,746863.6979,46
-692409.0361,7069873.658,53.4671168,-6.2200162,St. Colmcilles GFC Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,stcolmcillesgfc.ie,(01) 685 4327,Outdoor,Poor,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,718182.6145,747816.18,47
-691980.5117,7069660.254,53.4659756,-6.2161667,Balheary Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,GAA,Non Commercial,,,no email,,N/A,Outdoor,Good,,,,,,,,718441.3567,747695.5993,48
-691910.091,7069897.557,53.4672446,-6.2155341,Balheary Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,GAA,Non Commercial,,,no email,,N/A,Outdoor,Good,,,,,,,,718479.8211,747837.8386,49
-691813.6327,7070121.216,53.4684406,-6.2146676,Balheary Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,,,no email,,N/A,Outdoor,Good,,,,,,,,718534.0143,747972.3451,50
-691751.316,7070272.301,53.4692485,-6.2141078,Balheary Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,,,no email,,N/A,Outdoor,Good,,,,,,,,718568.9257,748063.1625,51
-682299.7681,7073692.21,53.4875317,-6.1292031,St. Ita's F.C. Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,http://www.stitasafc.eu/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,724151.9529,750241.8889,52
-682171.7173,7073675.559,53.4874427,-6.1280528,St. Ita's F.C. Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,http://www.stitasafc.eu/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Could not be fully determined on visit,Could not be fully determined on visit,724228.5427,750233.9914,53
-695112.4077,7066488.367,53.44901,-6.244301,Cedar Green Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,FCC,free,customercareunit@fingal.ie,www.fingalcoco.ie/community-and-leisure/sports-and-fitness/pitches,(01) 8704451,Outdoor,Good,Could not be fully determined,Could not be fully determined,Free,Free,Daytime,No footpath for wheelchair access,All ages,716619.9769,745761.6394,54
-696235.254,7066362.625,53.4483373,-6.2543877,Rivervalley AFC Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,www.stfinians.com,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,No wheelchair access to field,All ages,715951.8739,745670.346,55
-696179.3493,7066446.702,53.4487871,-6.2538855,Rivervalley AFC Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,www.stfinians.com,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,No wheelchair access to field,All ages,715984.0038,745721.2074,56
-695422.9334,7066652.86,53.44989,-6.2470905,Cedar park play area,LEA7 - Swords,Play Area,"Playground, MUGA, Outdoor Gyms, Tennis",Multiple,Playground,Non Commercial,,,no email,,N/A,,,,,,,,,,716432.2977,745854.9894,57
-692479.3789,7064221.768,53.4368824,-6.2206481,St Finians GAA pitches,LEA7 - Swords,Gaa Club,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,718224.6141,744451.2787,58
-692865.2234,7064884.453,53.4404285,-6.2241142,Kilronan Equestrian Centre,LEA7 - Swords,Equestrian,Other,Single,Horse Riding,Commercial,,,no email,,N/A,,,,,,,,,,717984.5137,744840.074,59
-691968.3556,7064549.45,53.4386359,-6.2160575,Kimi's Judo,LEA7 - Swords,Martial Arts,Indoor Activity,Single,Martial arts,Commercial,No,,no email,,N/A,,,,,,,,,,718524.7161,744653.9908,60
-691921.5903,7064837.788,53.4401788,-6.2156374,Holywell Park Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,718548.3293,744826.3504,61
-692089.282,7064842.348,53.4402032,-6.2171438,Holywell Park Pitch,LEA7 - Swords,Outdoor Pitch,Pitch Sport,,"GAA, football, hurling handball",Non Commercial,,,no email,,N/A,,,,,,,,,,718448.1896,744826.562,62
-692718.4932,7070914.301,53.4726813,-6.2227961,Swords Celtic FC - All Weather Pitch,LEA7 - Swords,All Weather Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,http://www.swordscelticfc.yourclub.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,717982.6236,748430.6786,63
-692889.9697,7070919.613,53.4727097,-6.2243365,Swords Celtic FC Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,717880.2924,748431.29,64
-692916.5305,7070833.113,53.4722472,-6.2245751,Swords Celtic FC Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,717865.7357,748379.4379,65
-693031.8575,7070977.273,53.473018,-6.2256111,Swords Celtic FC Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,717794.83,748463.4844,66
-693036.4105,7070912.786,53.4726732,-6.225652,Swords Celtic FC Pitches,LEA7 - Swords,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,www.swordscelticfc.yourclub.ie,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,717793.07,748425.0545,67
-701466.7246,7074158.421,53.4900235,-6.3013828,Rolestown Community Centre,LEA7 - Swords,Community Centre,Indoor Activity,Multiple,Variety,Non Commercial,,,no email,,N/A,,,,,,,,,,712719.9847,750232.999,68
-701861.9533,7076726.38,53.5037461,-6.3049332,Fingal Ravens GAA - All Weather Pitch,LEA-5 - Lusk-Rush,All Weather Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,https://fingalravens.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Unsure though wheelchair access,All ages,712448.0818,751754.1849,69
-702060.2801,7076782.436,53.5040456,-6.3067148,Fingal Ravens GAA Pitch,LEA-5 - Lusk-Rush,Gaa Club,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,https://fingalravens.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Daytime,Unsure though wheelchair access,All ages,712329.1114,751784.6977,70
-700724.4574,7092107.268,53.5858452,-6.2947149,Clann Mhuire GAA Pitch,LEA-5 - Lusk-Rush,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,no email,http://www.clannmhuire.ie/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Yes with regards to wheelchair access though it is unknow if any activities for the disabled are organised.,All ages,712907.1547,760904.8696,71
-688370.9327,7097697.589,53.6156454,-6.1837413,Balbriggan FC pitches,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Single,Soccer,Non Commercial,No,membership,no email,https://balbrigganfc.ie/,N/A,Outdoor,Fair,4 pitches.,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,720169.4021,764402.2222,72
-690060.6624,7092436.892,53.5876029,-6.1989204,Balbriggan Rugby Club Pitch,LEA-5 - Balbriggan,Rugby Club,Pitch Sport,Single,Rugby,Non Commercial,No,membership,info@balbirgganrfc.com,http://balbrigganrfc.com/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,719244.1732,761256.6485,73
-689818.2308,7092632.943,53.5886483,-6.1967426,Balbriggan Rugby Club Pitch,LEA-5 - Balbriggan,Rugby Club,Pitch Sport,Single,Rugby,Non Commercial,No,membership,info@balbrigganrfc.com,http://balbrigganrfc.com/,N/A,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,All ages,719385.398,761376.6114,74
-689008.8602,7098096.225,53.6177696,-6.1894719,O'Dwyer's GAA and Balbriggan FC Pitch,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,719784.2704,764628.9005,75
-688884.238,7098376.214,53.6192615,-6.1883524,O'Dwyer's GAA and Balbriggan FC Pitch,LEA-5 - Balbriggan,Outdoor Pitch,Pitch Sport,Multiple,"GAA, football, hurling handball",Non Commercial,No,membership,info@odwyersgaa.com,https://odwyersgaa.com,(01) 841 3820,Outdoor,Good,Could not be fully determined,Could not be fully determined,Single Entry,Annual,Weekday Evening/ Daytime Weekends,Could not be fully determined on visit,Could not be fully determined on visit,719854.1022,764796.7767,76
